date,time,lat,long,country,city,area,direction,dist,depth,xm,md,richter,mw,ms,mb
2017.03.24,12:19:06 AM,39.55,26.1,turkey,canakkale,gulpinar_ayvacik,north_west,2.7,11.7,4.3,0.0,4.3,4.1,0.0,0.0
2017.04.02,12:34:00 AM,38.19,31.07,turkey,isparta,madenli_gelendost,north_west,2.7,5.0,3.5,0.0,3.3,3.5,0.0,0.0
1939.07.24,12:05:01 AM,37.2,28.3,turkey,mugla,yesilyurt,north_east,2.7,15.0,4.9,4.8,4.8,4.9,4.8,4.9
1945.12.21,12:35:00 AM,37.9,29.0,turkey,denizli,beylerbeyi_saraykoy,north_east,2.7,4.0,4.9,4.7,4.7,4.9,4.7,4.8
1960.07.26,12:36:23 AM,40.56,37.25,turkey,tokat,hatipli_basciftlik,north_east,2.7,40.0,4.8,4.7,4.6,4.8,4.6,4.7
1969.03.26,12:00:11 AM,39.3,28.1,turkey,balikesir,kucukbuku_sindirgi,north_east,2.7,52.0,4.4,4.2,4.2,4.4,4.0,4.3
1970.03.31,12:40:44 AM,39.11,29.77,turkey,kutahya,camdibi_aslanapa,north_east,2.7,9.0,4.7,4.5,4.3,4.7,4.4,4.6
1970.05.14,12:34:07 AM,38.84,30.0,turkey,usak,ciftlik_banaz,north_east,2.7,35.0,4.3,4.1,4.1,4.3,3.9,4.2
2014.08.11,12:22:44 AM,39.48,36.68,turkey,sivas,hanli,north_east,2.7,5.0,3.9,0.0,3.9,3.8,0.0,0.0
2016.04.07,12:11:15 AM,37.94,35.08,turkey,nigde,bademdere_camardi,north_east,2.7,5.0,4.1,0.0,4.1,4.1,0.0,0.0
2016.09.02,12:24:57 AM,40.71,30.13,turkey,kocaeli,sirinsulhiye_kartepe,north_east,2.7,9.0,3.7,0.0,3.7,3.7,0.0,0.0
2017.05.28,12:06:24 AM,38.76,27.85,turkey,manisa,kumkuyucak_saruhanli,north_east,2.7,8.1,3.8,0.0,3.7,3.8,0.0,0.0
1956.02.23,12:04:37 AM,39.76,30.17,turkey,eskisehir,dutluca_inonu,north,2.7,60.0,5.4,5.1,5.1,5.4,5.2,5.1
1973.08.30,12:36:25 AM,37.96,42.75,turkey,siirt,bentkoy_pervari,north,2.7,45.0,5.0,4.7,4.7,5.0,4.7,4.7
1974.03.08,12:48:19 AM,38.76,44.13,turkey,van,donerdere_ozalp,north,2.7,55.0,4.5,4.3,4.1,4.5,4.2,4.4
1967.06.30,12:24:03 AM,37.79,30.54,turkey,isparta,deregumu,east,2.7,28.0,4.5,4.3,4.3,4.5,4.2,4.4
1969.01.08,12:04:52 AM,37.8,31.1,turkey,isparta,aksu,east,2.7,33.0,4.5,4.3,4.3,4.5,4.2,4.4
1971.05.14,12:18:24 AM,37.65,29.96,turkey,burdur,onacak_yesilova,east,2.7,31.0,4.9,4.7,4.6,4.9,4.6,4.6
2006.12.19,12:15:37 AM,40.4,28.31,turkey,bursa,kursunlu_karacabey,east,2.7,11.0,4.3,0.0,4.3,4.2,0.0,0.0
2007.02.09,12:22:56 AM,38.4,39.05,turkey,elazig,tarlatepe_sivrice,east,2.7,3.0,5.5,0.0,5.4,5.5,0.0,0.0
2013.07.04,12:01:43 AM,39.39,32.21,turkey,ankara,toydemir_polatli,east,2.7,5.5,3.5,0.0,3.5,3.3,0.0,0.0
2017.02.07,12:00:54 AM,39.53,26.15,turkey,canakkale,gulpinar_ayvacik,east,2.7,11.4,4.3,0.0,4.1,4.3,0.0,0.0
1955.11.10,12:42:01 AM,37.4,27.2,turkey,aydin,yalikoy_didim,south_west,2.8,30.0,4.7,4.6,4.6,4.7,4.5,4.6
1964.11.16,12:27:29 AM,39.52,40.32,turkey,tunceli,kirdim_pulumur,south_west,2.8,16.0,5.2,4.9,4.9,5.2,4.9,4.9
1970.03.29,12:27:12 AM,39.01,30.4,turkey,afyonkarahisar,ihsaniye,south_west,2.8,33.0,4.7,4.5,4.5,4.7,4.4,4.6
1971.04.30,12:44:04 AM,39.19,28.52,turkey,balikesir,mumcukoy_sindirgi,south_west,2.8,5.0,4.3,4.1,4.3,4.3,3.9,4.2
1973.10.21,12:50:31 AM,40.7,32.41,turkey,bolu,kavacik_gerede,south_west,2.8,5.0,4.1,3.9,4.1,4.1,3.6,4.0
2017.05.28,12:52:56 AM,38.74,27.79,turkey,manisa,kumkuyucak_saruhanli,south_west,2.8,10.9,4.9,0.0,4.7,4.9,0.0,0.0
1951.08.13,12:33:34 AM,40.88,32.87,turkey,cankiri,kuzoren_cerkes,south_east,2.8,10.0,6.9,6.5,6.4,6.6,6.9,6.4
1954.10.24,12:44:36 AM,40.0,40.0,turkey,erzincan,kucukotlukbeli_otlukbeli,south_east,2.8,30.0,4.8,4.7,4.6,4.8,4.6,4.7
1967.08.14,12:09:25 AM,40.74,30.37,turkey,sakarya,serdivan,south_east,2.8,25.0,4.8,4.6,4.7,4.8,4.6,4.7
1970.03.30,12:42:31 AM,39.03,29.9,turkey,kutahya,alincik_altintas,south_east,2.8,35.0,4.4,4.2,4.4,4.4,4.0,4.3
1970.05.28,12:52:18 AM,38.95,30.03,turkey,kutahya,eyidemir_dumlupinar,south_east,2.8,34.0,4.9,4.7,4.4,4.9,4.6,4.6
1971.02.26,12:54:43 AM,37.49,29.83,turkey,burdur,bayirbasi_yesilova,south_east,2.8,34.0,4.9,4.7,4.4,4.9,4.6,4.8
1971.05.30,12:50:11 AM,37.55,29.78,turkey,burdur,isiklar_yesilova,south_east,2.8,24.0,4.7,4.4,4.7,4.6,4.3,4.5
1973.03.21,12:16:24 AM,37.15,30.21,turkey,antalya,akyar_korkuteli,south_east,2.8,32.0,4.4,4.2,4.2,4.4,4.0,4.3
2016.12.15,12:43:58 AM,37.08,28.65,turkey,mugla,kavakcali_ula,south_east,2.8,7.3,4.2,0.0,4.2,4.2,0.0,0.0
2017.05.12,12:53:57 AM,40.73,38.54,turkey,giresun,icmesu_dereli,south_east,2.8,5.6,3.5,0.0,3.5,3.4,0.0,0.0
2017.07.08,12:27:56 AM,38.99,27.73,turkey,manisa,yatagan_akhisar,south_east,2.8,13.8,3.5,0.0,3.5,3.5,0.0,0.0
1942.12.20,12:03:08 AM,40.87,36.47,turkey,tokat,erdemli_erbaa,north_west,2.8,10.0,7.0,6.5,6.5,6.7,7.0,6.4
1943.09.08,12:35:00 AM,40.7,30.4,turkey,sakarya,kemaliye_arifiye,north_west,2.8,5.0,4.4,4.2,4.2,4.4,4.0,4.3
1958.11.06,12:14:04 AM,37.0,31.35,turkey,antalya,beydigin_manavgat,north_west,2.8,40.0,4.9,4.8,4.8,4.9,4.8,4.9
1966.08.20,12:45:25 AM,38.82,41.49,turkey,mus,karakopru,north_west,2.8,47.0,5.1,5.0,4.9,5.1,5.0,4.8
1970.03.31,12:46:51 AM,39.03,29.79,turkey,kutahya,saraycik_altintas,north_west,2.8,35.0,5.0,4.8,4.8,5.0,4.8,4.7
1971.05.12,12:13:05 AM,37.56,29.86,turkey,burdur,gencali_yesilova,north_west,2.8,8.0,4.9,4.7,4.9,4.9,4.7,4.8
2013.11.30,12:21:34 AM,38.47,39.37,turkey,elazig,surek_sivrice,north_west,2.8,6.1,4.0,0.0,4.0,3.8,0.0,0.0
1953.03.18,12:18:10 AM,39.96,27.59,turkey,balikesir,sogutkoy_gonen,north_east,2.8,30.0,5.5,5.3,5.3,5.5,5.4,5.3
1967.07.23,12:25:37 AM,40.7,30.57,turkey,sakarya,bugdayli_akyazi,north_east,2.8,33.0,4.2,4.0,4.0,4.2,3.7,4.1
1969.01.10,12:23:13 AM,39.8,40.2,turkey,erzincan,asagikartalli_cayirli,north_east,2.8,56.0,4.6,4.4,4.4,4.6,4.3,4.5
1973.02.08,12:33:14 AM,39.25,28.73,turkey,kutahya,kicir_simav,north_east,2.8,38.0,4.3,4.1,4.2,4.3,3.9,4.2
2016.09.16,12:12:24 AM,37.19,36.95,turkey,gaziantep,sakcagoze_nurdagi,north_east,2.8,10.5,3.8,0.0,3.8,3.8,0.0,0.0
2017.02.11,12:01:14 AM,39.56,26.13,turkey,canakkale,gulpinar_ayvacik,north_east,2.8,9.2,4.0,0.0,4.0,4.0,0.0,0.0
1970.03.28,12:59:11 AM,39.28,29.46,turkey,kutahya,certe_emet,west,2.9,17.0,5.1,4.8,4.6,5.1,4.8,4.8
1970.06.01,12:43:13 AM,39.0,29.7,turkey,kutahya,cukuroren_gediz,west,2.9,54.0,4.4,4.2,4.4,4.4,4.0,4.3
1920.09.28,12:17:37 AM,37.89,28.35,turkey,aydin,sevindikli_nazilli,south_west,2.9,10.0,5.8,5.5,5.5,5.8,5.7,5.5
1945.11.20,12:27:58 AM,38.63,43.33,turkey,van,yenikosk,south_west,2.9,10.0,5.4,5.1,5.1,5.4,5.2,5.1
1971.05.12,12:10:25 AM,37.51,29.71,turkey,burdur,kayadibi_yesilova,south_west,2.9,29.0,5.4,5.1,5.4,5.4,5.2,5.1
1971.08.09,12:40:47 AM,37.51,29.71,turkey,burdur,kayadibi_yesilova,south_west,2.9,11.0,4.9,4.7,4.6,4.9,4.6,4.8
2009.03.11,12:26:04 AM,39.03,41.88,turkey,mus,dokuzpinar_bulanik,south_west,2.9,5.0,4.4,4.3,4.3,4.4,0.0,0.0
2017.02.10,12:27:31 AM,39.8,42.52,turkey,agri,catalpinar_eleskirt,south_west,2.9,6.7,4.4,0.0,4.4,4.4,0.0,0.0
2017.03.31,12:34:16 AM,38.66,43.16,turkey,van,mollakasim,south_west,2.9,5.0,3.8,0.0,3.5,3.8,0.0,0.0
